timestep, diameter, num_sccs, max_scc_size
100, 8, 3926, 0.867786
100, 7, 3895, 0.867368
100, 7, 3872, 0.866850
100, 8, 3838, 0.866628
100, 8, 3849, 0.864887
100, 8, 3820, 0.864514
100, 8, 3799, 0.864101
100, 7, 3778, 0.863393
100, 7, 3863, 0.857636
100, 7, 3839, 0.857199
100, 8, 3815, 0.856290
100, 7, 3777, 0.856061
100, 7, 3745, 0.855894
100, 7, 3708, 0.855997
100, 8, 3680, 0.855618
100, 7, 3660, 0.854602
100, 6, 3639, 0.853809
100, 7, 3592, 0.853748
100, 7, 3561, 0.853395
100, 7, 3539, 0.852520
100, 7, 3527, 0.851401
100, 7, 3505, 0.850779
100, 7, 3496, 0.849226
100, 6, 3464, 0.848483
100, 7, 3455, 0.847093
100, 6, 3409, 0.847133
100, 7, 3367, 0.847295
100, 6, 3356, 0.846157
100, 8, 3332, 0.844905
100, 6, 3314, 0.843742
100, 6, 3283, 0.843226
100, 6, 3250, 0.842739
100, 6, 3213, 0.842631
100, 8, 3178, 0.841853
100, 6, 3149, 0.840960
100, 6, 3116, 0.840361
100, 6, 3082, 0.839557
100, 6, 3047, 0.838963
100, 6, 3020, 0.837773
100, 6, 3000, 0.836397
100, 6, 2965, 0.836017
100, 7, 2930, 0.835625
100, 6, 2904, 0.834654
100, 6, 2873, 0.834014
100, 7, 2843, 0.833564
100, 6, 2807, 0.832989
100, 6, 2777, 0.831895
100, 6, 2752, 0.830308
100, 6, 2714, 0.830038
100, 6, 2677, 0.829112
100, 6, 2671, 0.826355
100, 6, 2635, 0.825192
100, 7, 2587, 0.825415
100, 7, 2548, 0.824373
100, 7, 2504, 0.823805
100, 6, 2464, 0.822813
100, 6, 2426, 0.821774
100, 6, 2386, 0.821244
100, 6, 2337, 0.820617
100, 6, 2298, 0.819446
100, 6, 2249, 0.819117
100, 7, 2204, 0.818308
100, 6, 2158, 0.818009
100, 6, 2115, 0.816799
100, 7, 2063, 0.816357
100, 6, 2089, 0.807798
100, 6, 2017, 0.809009
100, 6, 1968, 0.808283
100, 5, 1919, 0.807133
100, 5, 1862, 0.806980
100, 5, 1805, 0.806816
100, 5, 1880, 0.791397
100, 6, 1806, 0.791730
100, 5, 1753, 0.790739
100, 6, 1704, 0.788853
100, 5, 1651, 0.787905
100, 5, 1604, 0.785859
100, 5, 1541, 0.785222
100, 5, 1482, 0.783968
100, 5, 1417, 0.783319
100, 8, 4571, 0.248082
100, 7, 4405, 0.239883
100, 10, 4206, 0.235526
100, 9, 4054, 0.216988
100, 8, 3843, 0.210741
100, 9, 3650, 0.198630
100, 10, 3444, 0.188030
100, 9, 3228, 0.179555
100, 9, 3032, 0.161927
100, 11, 2775, 0.157606
100, 9, 2536, 0.150738
100, 9, 2289, 0.137509
100, 7, 2041, 0.124692
100, 10, 1809, 0.100572
100, 8, 1586, 0.060865
100, 7, 1321, 0.033145
100, 5, 1032, 0.023191
100, 4, 716, 0.018970
100, 4, 390, 0.020101
100, 0, 58, 0.017241
